GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Topology,0,60,0,0,0,8,0,8,0,8
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,ProjectRole,0,25,0,0,0,3,0,1,0,1
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Scenario,0,87,0,0,0,11,0,11,0,11
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Portfolio,0,51,0,0,0,7,0,7,0,7
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Portfolio.Create,0,21,0,0,0,5,0,3,0,3
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Project.Create,0,12,0,0,0,3,0,2,0,2
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,UserAccounting,0,24,0,0,0,4,0,4,0,4
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Portfolio.Summary,0,33,0,0,0,6,0,5,0,5
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Topology.Summary,0,42,0,0,0,7,0,6,0,6
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Scenario.Create,0,45,0,0,0,8,0,6,0,6
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Topology.Create,0,21,0,0,0,5,0,3,0,3
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Scenario.Summary,0,69,0,0,0,10,0,9,0,9
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Project,0,45,0,0,0,6,0,6,0,6
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Topology.Update,0,12,0,0,0,2,0,2,0,2
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,Job,13,42,0,0,1,6,1,6,1,6
SchedulerResourceTest (QuarkusTest),org.opendc.web.proto.user,User,0,21,0,0,0,3,0,3,0,3
SchedulerResourceTest (QuarkusTest),org.opendc.trace.wtf,WtfTaskTableReader,374,0,49,0,67,0,46,0,17,0
SchedulerResourceTest (QuarkusTest),org.opendc.trace.wtf,WtfTraceFormat,227,0,4,0,25,0,9,0,7,0
SchedulerResourceTest (QuarkusTest),org.opendc.trace.spi,TableDetails,12,0,0,0,1,0,2,0,2,0
SchedulerResourceTest (QuarkusTest),org.opendc.trace.spi,TraceFormat.Companion,106,0,28,0,12,0,20,0,2,0
SchedulerResourceTest (QuarkusTest),org.opendc.simulator.compute.memory,Memory,13,0,0,0,6,0,4,0,4,0
SchedulerResourceTest (QuarkusTest),org.opendc.simulator.compute.power.batteries,SimBattery,438,0,44,0,116,0,54,0,32,0
SchedulerResourceTest (QuarkusTest),org.opendc.simulator.compute.power.batteries,PowerSourceType,15,0,0,0,3,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.simulator.compute.power.batteries,BatteryState,21,0,0,0,4,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.simulator.compute.power.batteries,BatteryAggregator,240,0,18,0,64,0,24,0,15,0
SchedulerResourceTest (QuarkusTest),org.opendc.compute.topology,TopologyReader,43,0,0,0,5,0,4,0,4,0
SchedulerResourceTest (QuarkusTest),org.opendc.compute.topology,TopologyFactories,317,0,8,0,66,0,12,0,8,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,HostFilterSpec,11,0,0,0,2,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,HostWeigherSpec.Companion.new Function0() {...},72,0,0,0,1,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,HostWeigherSpec.Companion,3,0,0,0,1,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,VCpuWeigherSpec,10,0,0,0,3,0,2,0,2,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,RamHostFilterSpec,56,0,0,0,5,0,5,0,5,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,PrefabAllocationPolicySpec,51,0,0,0,5,0,5,0,5,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,InstanceCountHostFilterSpec.Companion,3,0,0,0,1,0,1,0,1,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,ComputeFilterSpec,40,0,0,0,4,0,4,0,4,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,VCpuHostFilterSpec..serializer,165,0,8,0,2,0,10,0,5,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,InstanceCountHostFilterSpec,51,0,0,0,5,0,5,0,5,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,PrefabAllocationPolicySpec..serializer,165,0,8,0,2,0,10,0,5,0
SchedulerResourceTest (QuarkusTest),org.opendc.experiments.base.experiment.specs.allocation,TaskStopperSpec,54,0,0,0,7,0,6,0,6,0
